pair_index,scene,source_id,target_id,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,mean_hops,best_hops,effective_rank,regeneration_updates,regenerated_correspondences,subsample_seconds,graph_seconds,seed_seconds,search_seconds,refinement_seconds,regeneration_seconds
909,sun3d-hotel_uc-scan3,18,4,sagereg_regen,218,0.1376146788990825,0.5848525652985584,0.078836457736709,True,0.1088484590004554,1.8958333333333333,2.0,1.83662936950026,2.0,3985.0,9.096000212593935e-06,0.0033452389998274,0.0175402500003656,0.0528116159998717,0.0064049560000967,0.0286970500001189
910,sun3d-hotel_uc-scan3,19,4,sagereg_regen,256,0.375,0.5295414596813551,0.0663435890372725,True,0.1263516459998754,1.9895833333333333,2.0,1.971280373261751,2.0,4163.0,1.068800020220806e-05,0.0048612390000926,0.0291235110003071,0.0593636490002609,0.0068840020003335,0.0260631979999743
911,sun3d-hotel_uc-scan3,20,4,sagereg_regen,255,0.4117647058823529,1.2710166050950091,0.1205681822866482,True,0.1438033879999238,1.9479166666666667,2.0,2.296352578437148,6.0,5269.0,9.924000096361851e-06,0.0045269730003383,0.0271525299999666,0.0581005779999941,0.0068028240002604,0.047167963999982
912,sun3d-hotel_uc-scan3,36,4,sagereg_regen,361,0.6177285318559557,0.7488554866601783,0.0748357709079215,True,0.1855974059999425,2.0,2.0,1.955053550228657,5.0,6193.0,1.2896000043838283e-05,0.0076001749998795,0.0513074069999675,0.0620353880003676,0.0081798100000014,0.0564133039997614
913,sun3d-hotel_uc-scan3,37,4,sagereg_regen,173,0.4450867052023121,1.385573199449533,0.0429430861950397,True,0.103850338000484,1.9895833333333333,2.0,2.398353902271056,1.0,3549.0,9.348000276077071e-06,0.0030245230000218,0.013752844999999,0.0579764560002331,0.0065480879998176,0.0224949510002261
914,sun3d-hotel_uc-scan3,6,5,sagereg_regen,286,0.7517482517482518,0.9200266210491302,0.0138413884711749,True,0.1488195410001935,2.0,2.0,2.439408246729448,4.0,6261.0,1.1084000107075552e-05,0.0053651160001209,0.0348046989997783,0.0600899129999561,0.0077210170002217,0.0407777020000139
915,sun3d-hotel_uc-scan3,7,5,sagereg_regen,214,0.4719626168224299,0.8015945725029312,0.0380180427213125,True,0.1330859989998316,2.0,2.0,2.1067417445753454,5.0,5300.0,9.271000180888224e-06,0.004030436999983,0.0219767190001221,0.0586272890000145,0.0066103619997193,0.0417901169998913
916,sun3d-hotel_uc-scan3,8,5,sagereg_regen,142,0.4929577464788732,1.4977060257603445,0.0427516683373412,True,0.1047015229996759,2.0,2.0,1.906435437498318,4.0,4180.0,8.420000085607171e-06,0.0024885970001378,0.0109650419999525,0.0563135810002677,0.0062082139997983,0.0286787839995668
917,sun3d-hotel_uc-scan3,9,5,sagereg_regen,149,0.4228187919463087,4.308567965335031,0.0959587223941195,True,0.1176880360003451,2.0,2.0,2.693690309138669,5.0,4063.0,8.604999948147452e-06,0.0025063420002879,0.0114144320000377,0.0575671669998882,0.0063830359999883,0.0397687320000841
918,sun3d-hotel_uc-scan3,37,5,sagereg_regen,353,0.8073654390934845,1.1706629849870156,0.0308265803260164,True,0.1726419860001442,2.0,2.0,2.443792916620016,5.0,5394.0,1.2104999768780544e-05,0.007148545000291,0.05312030199957,0.0625894419999895,0.0083477729999685,0.0413788340001701
