pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
148,pair_148.npz,sagereg_regen,2000,0.681,0.120565126615951,0.3709382947992655,True,0.942700788997172,1.7711158653352066,5.0,29396.0
149,pair_149.npz,sagereg_regen,2000,0.235,0.5080871364247045,0.2966197558600279,True,0.8965050419974432,1.5510940797198352,6.0,32663.0
150,pair_150.npz,sagereg_regen,1747,0.0211791642816256,0.9877974075595556,0.70661942127647,False,0.6908022850002453,2.001124249791401,3.0,30428.0
151,pair_151.npz,sagereg_regen,2000,0.702,0.359870232264023,0.0576126794395239,True,0.8296958220016677,1.3113915096655546,5.0,20167.0
152,pair_152.npz,sagereg_regen,2000,0.7375,0.6785998160658336,0.1376764724223823,True,0.8161742459997186,2.020078114708085,6.0,20162.0
153,pair_153.npz,sagereg_regen,2000,0.9155,0.2576390744499592,0.1605502011632899,True,0.8593729239983077,1.824004501539741,4.0,21797.0
154,pair_154.npz,sagereg_regen,2000,0.915,0.7386124735281958,0.200556471009387,True,0.8466634309988876,1.98410789825434,5.0,20692.0
155,pair_155.npz,sagereg_regen,2000,0.9635,0.1277857499376139,0.0355145347595666,True,0.828770699998131,1.555994975471274,5.0,18601.0
156,pair_156.npz,sagereg_regen,2000,0.9505,0.0975376090212653,0.0551382814348355,True,0.8137917970016133,1.2902799717053866,5.0,16260.0
157,pair_157.npz,sagereg_regen,2000,0.96,0.232909928641425,0.094871105979859,True,0.7848060539981816,1.4176445120511003,2.0,15967.0
158,pair_158.npz,sagereg_regen,2000,0.9335,0.239319631296083,0.0424152285197262,True,0.8106422739983827,1.476072774115649,3.0,16128.0
159,pair_159.npz,sagereg_regen,2000,0.8975,0.1765529544790297,0.185271259265694,True,0.8018819769968104,1.2747763962626957,6.0,15691.0
160,pair_160.npz,sagereg_regen,2000,0.5605,0.6758419840832558,0.1996933421738266,True,0.778846571000031,1.4553740293777575,6.0,17047.0
161,pair_161.npz,sagereg_regen,1360,0.0051470588235294,79.25741361228144,16.621305295169144,False,0.4554224910025368,1.541163491181071,6.0,6810.0
162,pair_162.npz,sagereg_regen,2000,0.9745,0.1364126329647502,0.0543393498913271,True,0.7760781060023874,1.4261075229888711,4.0,14819.0
163,pair_163.npz,sagereg_regen,2000,0.8985,0.1341106054506528,0.2047789292056182,True,0.8014674260048196,1.3646774670689488,5.0,15383.0
164,pair_164.npz,sagereg_regen,2000,0.875,0.3970607484800537,0.3025094078372052,True,0.7664642029994866,1.3556755960742957,3.0,12803.0
165,pair_165.npz,sagereg_regen,2000,0.8325,0.2306295887606458,0.3131895615460429,True,0.7923789730011777,1.275960218386132,6.0,12796.0
166,pair_166.npz,sagereg_regen,2000,0.8015,0.256427993901701,0.334592119711084,True,0.7776386209989141,1.2909016018723585,4.0,13414.0
167,pair_167.npz,sagereg_regen,2000,0.293,0.1712486480220997,0.673252333144129,False,0.7985744519974105,1.4621100956272095,3.0,17913.0
168,pair_168.npz,sagereg_regen,2000,0.99,0.1466649184655622,0.0559519609770238,True,0.7707219419971807,1.4439600355537945,3.0,15524.0
169,pair_169.npz,sagereg_regen,2000,0.9265,0.2725379232302199,0.2221400800483992,True,0.7707690960014588,1.3733960208280018,5.0,13749.0
170,pair_170.npz,sagereg_regen,2000,0.929,0.164813005133826,0.223100046701991,True,0.7683176220052701,1.5846068709108556,2.0,13033.0
171,pair_171.npz,sagereg_regen,2000,0.7995,0.2464477271530638,0.1921635346036522,True,0.7904497009985789,1.3372524622392312,5.0,13951.0
172,pair_172.npz,sagereg_regen,2000,0.9205,0.5973860903124046,0.1063859562557567,True,0.7810785629990278,1.3085218482578542,5.0,13849.0
173,pair_173.npz,sagereg_regen,2000,0.9625,0.2667345443553144,0.0535789976927411,True,0.8064328799991927,1.529781976419833,4.0,16874.0
174,pair_174.npz,sagereg_regen,2000,0.807,0.6579016247646382,0.037535020031892,True,0.8005248510016827,1.3503266560842764,5.0,14583.0
175,pair_175.npz,sagereg_regen,2000,0.569,0.2071177849155184,0.2183112144351986,True,0.7235723019985016,1.1915809233709973,4.0,11747.0
176,pair_176.npz,sagereg_regen,2000,0.8055,0.1916241154957965,0.0293783757027776,True,0.7630625399979181,1.2660485830797106,4.0,12196.0
177,pair_177.npz,sagereg_regen,2000,0.932,0.2796867086420678,0.1171688118020761,True,0.7322706850027316,1.3111788680626886,2.0,14026.0
178,pair_178.npz,sagereg_regen,2000,0.761,0.4101081665150271,0.2605865750358887,True,0.7985874459955085,1.431542061813477,5.0,14583.0
179,pair_179.npz,sagereg_regen,1984,0.2842741935483871,0.3438530175740593,0.1154764395770556,True,0.798155073000089,1.531673770141634,6.0,23257.0
180,pair_180.npz,sagereg_regen,1932,0.077639751552795,1.28670869872032,0.5623115537327723,True,0.8527845670032548,1.7273870629985788,6.0,30789.0
181,pair_181.npz,sagereg_regen,2000,0.4075,0.3303217101808832,0.0694473184176759,True,0.8015886649991444,1.79171264456707,2.0,22336.0
182,pair_182.npz,sagereg_regen,2000,0.714,0.3198178266518491,0.1076892375003354,True,0.80488831600087,1.2886547278216138,4.0,17049.0
183,pair_183.npz,sagereg_regen,2000,0.986,0.1655792975612174,0.0623946821182497,True,0.809352164997108,1.4822294590539264,5.0,16729.0
184,pair_184.npz,sagereg_regen,2000,0.96,0.2516381073447026,0.1728449930809432,True,0.7926105609985825,1.578818358051508,3.0,17434.0
185,pair_185.npz,sagereg_regen,2000,0.9235,0.178657065861682,0.1682564258474533,True,0.8279762309975922,1.544127087396581,5.0,18034.0
186,pair_186.npz,sagereg_regen,2000,0.776,0.2032274470996548,0.1173040003040229,True,0.8164875830007077,1.5564559769834383,4.0,17696.0
187,pair_187.npz,sagereg_regen,1297,0.0408635312259059,1.1159621542535287,0.3367083327519712,True,0.5269075200012594,1.9407997617710897,6.0,22922.0
188,pair_188.npz,sagereg_regen,2000,0.5175,0.5038846335058526,0.0231756115063155,True,0.8416989559991634,1.5811693470683406,6.0,22750.0
189,pair_189.npz,sagereg_regen,2000,0.843,0.3190027916675876,0.1250098496802136,True,0.8760607349977363,1.4844005710976973,4.0,22381.0
190,pair_190.npz,sagereg_regen,2000,0.9625,0.2305267471121986,0.1439058097675626,True,0.8639185179999913,1.861947193907801,6.0,22014.0
191,pair_191.npz,sagereg_regen,2000,0.551,0.1769123956571401,0.3071918202379159,True,0.8241273880012159,1.5988344670419072,6.0,20233.0
192,pair_192.npz,sagereg_regen,2000,0.7445,0.1108231566035776,0.2191554979706598,True,0.8869015789969126,1.7143619587587986,6.0,24035.0
193,pair_193.npz,sagereg_regen,2000,0.9695,0.0793331298744923,0.0460677862281127,True,0.9034921060010674,1.8176313951676948,4.0,26992.0
194,pair_194.npz,sagereg_regen,2000,0.962,0.1382553055593292,0.1097007841240836,True,0.8413694869996107,1.7478445181852356,4.0,24644.0
195,pair_195.npz,sagereg_regen,2000,0.973,0.1309807355578568,0.0247716096190966,True,0.8624911240040092,1.627927503216208,3.0,23429.0
196,pair_196.npz,sagereg_regen,2000,0.9725,0.0776048622385623,0.0346782492975743,True,0.8899693130006199,1.711949677825019,4.0,25028.0
197,pair_197.npz,sagereg_regen,2000,0.8045,0.0838199243467311,0.2039235009733533,True,0.93698713699996,1.8652500616097905,6.0,27372.0
198,pair_198.npz,sagereg_regen,2000,0.663,0.0955329571512269,0.2718037267924852,True,0.9162065159980556,1.738015160131457,6.0,27305.0
199,pair_199.npz,sagereg_regen,2000,0.8305,0.1724037133622062,0.1804843349746293,True,0.9066393969987984,1.7272129635157742,6.0,24598.0
200,pair_200.npz,sagereg_regen,2000,0.7165,0.101880179188063,0.1989849167381322,True,0.8754036850004923,1.643026636483622,6.0,22186.0
201,pair_201.npz,sagereg_regen,2000,0.8365,0.1300902989925819,0.183714960136561,True,0.8312657409987878,1.547054901201301,5.0,19952.0
202,pair_202.npz,sagereg_regen,2000,0.683,0.1771236311207412,0.2854526351453795,True,0.8694435569996131,1.581179994556233,6.0,23290.0
203,pair_203.npz,sagereg_regen,2000,0.4815,0.125916840132843,0.3323843188098614,True,0.8978406479982368,1.4818780916641434,6.0,25970.0
