pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
296,pair_296.npz,sagereg_regen,2000,0.037,0.1204334775064696,0.0204429652317105,True,0.7295192009996754,1.5403501013583507,6.0,18629.0
297,pair_297.npz,sagereg_regen,2000,0.0315,0.1092490614775736,0.0143202022544898,True,0.7010502769999221,1.406490206350702,3.0,18861.0
298,pair_298.npz,sagereg_regen,2000,0.03,0.1339579199097497,0.0114321183645576,True,0.7150128869998298,1.3280971658041616,4.0,18328.0
299,pair_299.npz,sagereg_regen,2000,0.0365,0.1513675510146441,0.0074606592661492,True,0.734787894999954,1.249994227725114,5.0,18789.0
300,pair_300.npz,sagereg_regen,2000,0.061,0.2709908489497623,0.0273025159672771,True,0.7255917699999372,1.3799325915290868,4.0,17669.0
301,pair_301.npz,sagereg_regen,2000,0.033,0.3075638418283193,0.0436356490244925,True,0.6765965670001606,1.254417879019027,3.0,17395.0
302,pair_302.npz,sagereg_regen,2000,0.0455,0.13908615770766,0.0087136585325395,True,0.7374173459998019,1.495639076628812,5.0,22743.0
303,pair_303.npz,sagereg_regen,2000,0.051,0.1285493148642618,0.0188091576007689,True,0.7770452219997424,1.4666033237709963,4.0,25637.0
304,pair_304.npz,sagereg_regen,2000,0.019,0.6319205067317258,0.093588913950934,True,0.819129256999986,1.7461286143422745,6.0,35161.0
305,pair_305.npz,sagereg_regen,2000,0.009,6.286635334108635,9.316296942921992,False,0.8247003129995392,1.9108182258971729,6.0,22136.0
306,pair_306.npz,sagereg_regen,2000,0.0455,0.0554756938678156,0.0548725357774917,True,0.8558259440001166,1.9839505478280104,6.0,34825.0
307,pair_307.npz,sagereg_regen,2000,0.056,0.0945084587597097,0.0733783513122002,True,0.8148214200000439,1.7866558421120349,4.0,30208.0
308,pair_308.npz,sagereg_regen,2000,0.0425,0.1105268170641171,0.019986586538621,True,0.8400680730001113,1.5099849836986028,3.0,37894.0
309,pair_309.npz,sagereg_regen,2000,0.043,0.0596459229036208,0.0058171614898897,True,0.933986860999994,1.3890169678576134,5.0,39620.0
310,pair_310.npz,sagereg_regen,2000,0.032,0.0829322787037209,0.0052435473898146,True,0.9219238559999212,2.0306564434472114,6.0,38938.0
311,pair_311.npz,sagereg_regen,2000,0.0425,3.531016742508103,9.49361900637366,False,0.8909026279998216,1.5030550168665169,6.0,35233.0
312,pair_312.npz,sagereg_regen,2000,0.0335,0.1050108852666459,0.0597127216855331,True,0.8320969840001453,1.337237911234049,3.0,38985.0
313,pair_313.npz,sagereg_regen,2000,0.037,0.1224150244720475,0.0434609715887786,True,0.8961152280003262,1.8047358529671635,5.0,36820.0
314,pair_314.npz,sagereg_regen,2000,0.054,0.110732390775607,0.0162946697780996,True,0.8930834369998593,1.527977025865548,5.0,36949.0
315,pair_315.npz,sagereg_regen,2000,0.039,3.8818757976594354,9.502504991174227,False,0.8871670899998207,1.2199685861240015,4.0,34709.0
316,pair_316.npz,sagereg_regen,2000,0.054,0.0756264921494038,0.0170385633930759,True,0.8736479090002831,1.6389142085900623,6.0,35913.0
