pair_index,variant,rotation_error_deg,translation_error,success,runtime_seconds
128,base,5.997020791729676,0.0886992497565472,True,0.12342916100169532
128,seeds_48,5.993668417997408,0.08868851592563694,True,0.07028009599889629
128,seeds_72,5.996419945707354,0.08871937835316442,True,0.10102641499543097
128,seeds_120,5.997020791729676,0.0886992497565472,True,0.14545050200104015
128,neighbors_24,5.996417194308575,0.08871776609894413,True,0.11076782500458648
128,neighbors_36,5.996414912861385,0.0887189717395692,True,0.1193521579989465
128,neighbors_72,5.9937177602706075,0.08868785753620666,True,0.1239933269971516
128,hypotheses_5,5.996419945707354,0.08871937835316442,True,0.11772762900363887
128,hypotheses_10,5.996419945707354,0.08871937835316442,True,0.11948234400188085
128,hypotheses_30,5.997020791729676,0.0886992497565472,True,0.12673697900027037
128,motif_0,5.997025322388667,0.08869955051700226,True,0.11835112999688135
128,motif_075,5.9970247712033435,0.08869953834701774,True,0.12217679400055204
128,motif_225,5.997023323787799,0.08869937857737518,True,0.12217930200131377
144,base,107.83393010387098,1.943464655967253,False,0.11533102199609857
144,seeds_48,107.83393010387098,1.943464655967253,False,0.0680429370040656
144,seeds_72,107.83393010387098,1.943464655967253,False,0.09429531000205316
144,seeds_120,107.83393010387098,1.943464655967253,False,0.13704670799779706
144,neighbors_24,62.66194612400243,1.7206205341811094,False,0.10546134600008372
144,neighbors_36,107.83500674016065,1.9434808690814003,False,0.1121929610017105
144,neighbors_72,107.83390983450737,1.9434643501633444,False,0.11598186400078703
144,hypotheses_5,107.83393010387098,1.943464655967253,False,0.11011050199886085
144,hypotheses_10,107.83393010387098,1.943464655967253,False,0.11166571100329747
144,hypotheses_30,107.83393010387098,1.943464655967253,False,0.1179612160049146
144,motif_0,89.36515419991926,1.820450558000046,False,0.11167594199650921
144,motif_075,107.8339322899642,1.9434646889604026,False,0.11499563200050034
144,motif_225,97.37235017933737,1.7936590894085087,False,0.11507294400507817
160,base,58.31188254853358,1.84087611319088,False,0.25044945099944016
160,seeds_48,8.151072486693595,0.21172843912256137,True,0.13768106199859176
160,seeds_72,58.31188254853358,1.84087611319088,False,0.1934501529976842
160,seeds_120,65.15847426346808,2.0344795130044537,False,0.3151988640020136
160,neighbors_24,1.1910302678775828,0.05858755904553301,True,0.19053776800137712
160,neighbors_36,58.32292453245609,1.8411960321689311,False,0.22457316099462332
160,neighbors_72,3.613664941614958,0.08998230527220781,True,0.2923784560043714
160,hypotheses_5,149.8463528296459,3.6088749529411155,False,0.24716436000016984
160,hypotheses_10,58.31188254853358,1.84087611319088,False,0.24829167899588356
160,hypotheses_30,58.31188254853358,1.84087611319088,False,0.25595751700166147
160,motif_0,16.909657174196315,0.32955806411910193,False,0.24142836099781562
160,motif_075,65.15857235089632,2.0344822582077504,False,0.25174261400388787
160,motif_225,58.30983864201698,1.840815849324425,False,0.25267830200027674
